zone32_id,shelter0,shelter1,shelter2,shelter3,shelter4,shelter5
0,1,0.86,0.76,0.77,0.67,0.71
1,1.13,0.97,0.81,0.86,0.74,0.73
2,1.19,1.02,0.78,0.99,0.87,0.85
3,1.4,0.98,0.68,1.1,0.98,0.98
4,1.04,0.86,0.53,1.14,1.03,1.06
5,0.9,0.71,0.45,1.08,0.99,1.05
6,0.83,0.66,0.51,0.96,0.87,0.98
7,0.87,0.72,0.64,0.83,0.74,0.83
8,1.02,0.89,0.84,0.69,0.56,0.64
9,1.21,1.06,0.9,0.82,0.68,0.66
10,1.28,1.11,0.85,1.02,0.89,0.85
11,1.23,1.05,0.72,1.19,1.06,1.04
12,1.07,0.88,0.51,1.23,1.13,1.15
13,0.86,0.67,0.37,1.14,1.05,1.13
14,0.75,0.58,0.47,0.97,0.89,1
15,0.81,0.68,0.65,0.77,0.69,0.81
16,1.05,0.92,0.91,0.6,0.49,0.56
17,1.27,1.12,1,0.79,0.65,0.59
18,1.37,1.2,0.94,1.06,0.93,0.85
19,1.31,1.12,0.75,1.25,1.13,1.1
20,1.1,0.9,0.48,1.32,1.2,1.23
21,0.83,0.63,0.27,1.22,1.13,1.22
22,0.65,0.48,0.42,0.99,0.93,1.05
23,0.77,0.64,0.7,0.73,0.66,0.8
24,1.07,0.96,0.99,0.51,0.41,0.48
25,1.36,1.21,1.08,0.76,0.64,0.54
26,1.46,1.29,1.01,1.11,0.98,0.88
27,1.38,1.2,0.81,1.33,1.21,1.17
28,1.15,0.94,0.48,1.4,1.3,1.32
29,0.8,0.62,0.19,1.29,1.2,1.31
30,0.57,0.39,0.42,1.01,0.95,1.11
31,0.73,0.61,0.72,0.69,0.62,0.79
