state_id,family,variant,N_total,zone0,zone1,zone2,zone3,zone4,zone5,zone6,zone7,zone8,zone9,zone10,zone11,zone12,zone13,zone14,zone15,zone16,zone17,zone18,zone19,zone20,zone21,zone22,zone23,zone24,zone25,zone26,zone27,zone28,zone29,zone30,zone31
0,baseline,0,7000,146,0,0,0,0,0,70,372,315,105,0,0,0,0,537,481,421,287,0,0,0,177,572,505,399,692,0,0,0,519,814,588
1,baseline,1,7000,146,0,0,0,0,0,70,372,315,105,0,0,0,0,537,481,421,287,0,0,0,177,572,505,399,692,0,0,0,519,814,588
2,baseline,2,7000,146,0,0,0,0,0,70,372,315,105,0,0,0,0,537,481,421,287,0,0,0,177,572,505,399,692,0,0,0,519,814,588
3,baseline,3,7000,146,0,0,0,0,0,70,372,315,105,0,0,0,0,537,481,421,287,0,0,0,177,572,505,399,692,0,0,0,519,814,588
4,baseline,4,7000,146,0,0,0,0,0,70,372,315,105,0,0,0,0,537,481,421,287,0,0,0,177,572,505,399,692,0,0,0,519,814,588
5,near,0,7000,300,0,0,0,0,0,143,764,323,107,0,0,0,0,550,493,430,294,0,0,0,182,586,517,305,531,0,0,0,398,625,452
6,near,1,7000,319,0,0,0,0,0,152,810,319,106,0,0,0,0,543,486,425,290,0,0,0,179,578,511,301,525,0,0,0,393,617,446
7,near,2,7000,337,0,0,0,0,0,161,856,315,105,0,0,0,0,536,480,419,286,0,0,0,177,571,504,298,518,0,0,0,388,610,439
8,near,3,7000,354,0,0,0,0,0,169,900,311,103,0,0,0,0,529,474,415,283,0,0,0,175,564,498,294,511,0,0,0,383,602,435
9,near,4,7000,371,0,0,0,0,0,177,944,307,102,0,0,0,0,523,469,409,279,0,0,0,173,557,492,290,505,0,0,0,378,595,429
10,far,0,7000,78,0,0,0,0,0,37,198,224,74,0,0,0,0,381,341,298,204,0,0,0,126,406,358,566,982,0,0,0,737,1156,834
11,far,1,7000,74,0,0,0,0,0,35,189,214,71,0,0,0,0,365,326,285,195,0,0,0,120,389,342,582,1009,0,0,0,758,1188,858
12,far,2,7000,71,0,0,0,0,0,34,181,205,68,0,0,0,0,349,313,273,186,0,0,0,115,372,329,596,1034,0,0,0,777,1218,879
13,far,3,7000,68,0,0,0,0,0,32,174,196,65,0,0,0,0,335,301,263,179,0,0,0,110,357,315,610,1057,0,0,0,794,1245,899
14,far,4,7000,66,0,0,0,0,0,31,167,189,63,0,0,0,0,322,288,252,172,0,0,0,106,344,302,622,1079,0,0,0,810,1270,917
15,direction,0,7000,248,0,0,0,0,0,59,315,534,89,0,0,0,0,454,406,711,242,0,0,0,150,484,426,674,585,0,0,0,438,688,497
16,direction,1,7000,127,0,0,0,0,0,60,322,273,182,0,0,0,0,465,417,364,498,0,0,0,153,496,437,344,1198,0,0,0,450,705,509
17,direction,2,7000,133,0,0,0,0,0,63,338,287,95,0,0,0,0,489,438,383,261,0,0,0,323,520,459,362,629,0,0,0,944,741,535
18,direction,3,7000,114,0,0,0,0,0,109,290,245,81,0,0,0,0,836,374,327,223,0,0,0,138,891,393,310,539,0,0,0,404,1268,458
19,direction,4,7000,114,0,0,0,0,0,54,584,246,82,0,0,0,0,420,753,329,224,0,0,0,139,448,790,312,541,0,0,0,407,637,920
20,multi,0,7000,122,0,0,0,0,0,58,309,262,157,0,0,0,0,446,399,349,430,0,0,0,265,476,420,330,1034,0,0,0,777,677,489
21,multi,1,7000,108,0,0,0,0,0,93,275,233,140,0,0,0,0,715,356,312,383,0,0,0,131,762,374,294,921,0,0,0,384,1084,435
22,multi,2,7000,215,0,0,0,0,0,57,303,464,85,0,0,0,0,438,392,618,234,0,0,0,261,467,411,585,564,0,0,0,762,664,480
23,multi,3,7000,112,0,0,0,0,0,53,516,242,80,0,0,0,0,413,665,323,220,0,0,0,245,440,698,305,531,0,0,0,718,626,813
24,multi,4,7000,109,0,0,0,0,0,52,499,234,140,0,0,0,0,399,643,312,384,0,0,0,132,425,675,295,925,0,0,0,385,605,786
